A_k,Distance,H_absolute,J_absolute,K_absolute,K_apparent,Teff,[Fe/H],logg
0.755514,2.9594718765573895,-2.6921212000008032,-1.9973484479247958,-2.833585086442267,10.278,4177.129906,0.190452527841,1.81697106809
1.13557,3.347612056633144,-3.5461412713926785,-2.813830269217152,-3.72924561663968,10.03,4006.5138863,0.201073145597,1.35322929814
1.6322,3.0399944135148607,-4.249008306786724,-3.6226756329995986,-4.3675639276130145,9.679,3585.14957579,-0.00916714002206,0.709927940504
1.84151,3.337564810943136,-6.1480089336274135,-5.246639365971285,-6.4526585392963876,8.006,3446.80745666,-0.247955936053,0.157546998997
0.140454,2.130956448587621,-1.1343766717480255,-0.6896477128406828,-1.207326869567366,10.576,5145.35206095,-1.46277982744,2.48360040368
1.63771,6.668418238572556,-6.024995730379309,-5.139245328364894,-6.322824153296286,9.435,3509.88214807,-0.182163448705,0.220440597483
1.18514,7.264909258125735,-6.259055868802893,-5.33825576255472,-6.487290970705381,9.004,3584.43888676,-0.63661575784,0.162811974745
0.408511,nan,nan,nan,nan,9.488,4665.45305822,0.395368271778,2.28461894804
0.011016,2.3855669947606555,-1.2347639174021234,-0.7872804646164925,-1.3079740875942305,10.591,5131.44966083,-1.47154505958,2.44174448712
0.382806,nan,nan,nan,nan,10.055,4637.18725646,0.393338856624,2.32560365438
1.30172,0.7441324032281608,-3.5694789603262893,-3.0017722549108052,-3.6669710814620404,6.993,3441.50405271,-0.294115486997,0.295068009835
1.63771,5.029058186844239,-6.097836241104725,-5.19101165148477,-6.394143302462543,8.751,3415.99541888,-0.275923675578,0.186275943432
2.01226,nan,nan,nan,nan,7.711,3346.45666939,-0.507336713883,0.131554428996
1.20809,2.8158189262050817,-3.518722705444611,-2.92240234711541,-3.6251136183333577,9.831,3622.09414731,0.0940479941333,0.868233551957
0.034884,7.014969261673487,-3.524142100943864,-2.9835407873217172,-3.6140128618433933,10.651,4743.81094489,-1.71757416245,1.46700012896
0.226747,1.6306811991314383,-2.9286384466421165,-2.235590171594801,-3.083592320250121,8.205,4131.12997818,0.239421408388,1.66101105944
1.2393,2.705194337017845,-3.5923084756799697,-3.008026164036495,-3.695292348068471,9.705,3567.63037356,0.00207756883961,0.707860167332
1.63771,7.4769638456964955,-6.188545016624742,-5.293431271079008,-6.405336403265181,9.601,3667.56853184,-0.675181650773,0.20063051123
-0.129438,0.6357657119203253,-1.3535149497380747,-0.9067591952334428,-1.4274855093270489,7.589,5129.83306651,-1.45320160049,2.39197616657
0.51408,1.8407263234102356,-1.8237875583601582,-1.2155630854242327,-1.9400261150675722,9.899,4511.49689044,0.268673785449,2.18254577803
1.48532,5.852179226887569,-6.3234585372164185,-5.391985663517733,-6.623908091073917,8.698,3390.97916746,-0.299889776622,0.0852867405144
0.102816,2.3815214630958645,-1.3417679258108732,-0.8901914247920261,-1.4150884993873132,10.572,5004.49743148,-1.56598800558,2.29061484314
